City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1523,Catia La Mar,VE,77.2,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
1531,Otorohanga,NZ,79.57,light rain,-38.1833,175.2,Otorohanga Kiwi Holiday Park
1539,Bourail,NC,81.03,light rain,-21.5667,165.4833,Motel Allamanda
1543,Florianopolis,BR,76.23,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
1544,Nang Rong,TH,80.33,broken clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
1551,Awash,ET,75.54,clear sky,8.9833,40.1667,Kediga hotel
1565,Ponnani,IN,85.32,scattered clouds,10.767,75.9252,Rouba Residency
1570,Kinablangan,PH,81.09,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
1574,Taganak,PH,86.14,scattered clouds,6.0833,118.3,Taganak
1577,Saint-Paul,RE,87.91,moderate rain,-21.0096,55.2707,Boucan Canot
1582,Panama City,PA,77.43,broken clouds,8.9936,-79.5197,Riande Urban Hotel
1589,Kencong,ID,84.0,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
1600,Mont-Dore,NC,84.18,moderate rain,-22.2833,166.5833,GIte
1602,Alyangula,AU,84.07,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
1603,Finschhafen,PG,86.58,few clouds,-6.6024,147.8681,Cossam Guest House
1612,Maroantsetra,MG,83.68,overcast clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
1614,Marang,MY,85.91,broken clouds,5.2056,103.2059,DBarakah Homestay
1615,Norsup,VU,80.92,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
1617,Rajampet,IN,84.6,scattered clouds,14.1833,79.1667,Maruthi Prasanna
1618,Puerto Rondon,CO,79.52,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
1620,Kochi,IN,85.98,scattered clouds,9.9399,76.2602,Hotel Abad
1625,Srandakan,ID,81.23,overcast clouds,-7.9386,110.2506,Puri Brata
1626,Lakatoro,VU,80.65,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
1627,Mildura,AU,86.07,broken clouds,-34.2,142.15,Mercure Hotel Mildura
1635,Cagsiay,PH,78.08,broken clouds,14.2167,121.75,"Sitio Maligaya, Barangay Cagsiay I"
1636,Eydhafushi,MV,81.64,few clouds,5.1033,73.0708,Soneva Fushi
1637,Manadhoo,MV,81.48,few clouds,5.7667,73.3833,Bon Abri maldives
1643,San Nicolas,PH,88.95,few clouds,18.1725,120.5953,NORTHVIEW Hotel
1646,Callaguip,PH,89.06,few clouds,18.0714,120.4867,Pangil Beach Resort
1649,Male,MV,87.75,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
1650,Maxixe,MZ,85.82,scattered clouds,-23.8597,35.3472,Oceano
1669,Wapi Pathum,TH,84.97,scattered clouds,15.8452,103.3768,Nayai Resort
1671,Weligama,LK,85.71,scattered clouds,5.9667,80.4167,Weligama Bay Resort
1683,Huai Thalaeng,TH,81.27,few clouds,14.997,102.6475,รีสอร์ทฟิวแอนทิว
1701,Kandrian,PG,86.58,few clouds,-6.2167,149.55,Kandrian Station
1707,Parkes,AU,78.35,overcast clouds,-33.1333,148.1833,Station Motel
1711,Trincomalee,LK,78.91,broken clouds,8.5711,81.2335,Welcombe Hotel
1713,Radhanpur,IN,76.14,clear sky,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
1720,Pundaguitan,PH,81.5,clear sky,6.3711,126.1689,Leonardo Family Beach House 1
1722,Axim,GH,78.17,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
1728,Jawhar,SO,88.3,scattered clouds,2.7809,45.5005,hantiwadaag village part one
1742,Nata,PA,77.47,few clouds,8.3333,-80.5167,Rey David
1743,Borbon,PH,89.49,broken clouds,10.838,124.0297,Pepe Catubig Res
1756,Punta Cardon,VE,76.08,clear sky,11.6581,-70.215,Bambuda hotel
1759,Pemba,MZ,82.45,overcast clouds,-12.974,40.5178,Guesthouse Samotina
1784,Boyolangu,ID,82.33,overcast clouds,-8.1181,111.8935,Yos ega cv
1791,Kupang,ID,84.04,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
1795,Pedernales,DO,75.33,clear sky,18.0384,-71.744,Hotel Costa Marina
1801,Kankon,IN,80.4,few clouds,15.0167,74.0167,Palolem Beach Resort
1804,Jilib,SO,89.37,few clouds,0.4883,42.7854,Waadi Hotel
1808,Avanigadda,IN,87.94,scattered clouds,16.0215,80.9181,AP Camping
1810,Nakhon Thai,TH,87.39,overcast clouds,17.1006,100.8374,Phet resort
1813,Coolum Beach,AU,76.1,scattered clouds,-26.5333,153.1,Coolum Beach Resort
1817,Muli,MV,82.6,clear sky,2.9167,73.5667,Medhufushi Island Resort
1825,Chum Phae,TH,82.26,overcast clouds,16.5443,102.0992,Major Grand
1827,Benguela,AO,76.62,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
1828,Manokwari,ID,83.79,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
1831,Macae,BR,76.75,broken clouds,-22.3708,-41.7869,Personal Hotel
1837,Kralendijk,BQ,76.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
1844,Curup,ID,77.22,overcast clouds,-3.4667,102.5333,Ayi The Costel
1851,Antalaha,MG,86.09,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
1853,Mae Hong Son,TH,84.34,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
1854,Tiquisate,GT,76.3,clear sky,14.2833,-91.3667,Hotel Small Ville - Tiquisate
1861,Bondo,CD,80.31,overcast clouds,3.8146,23.6866,
1863,Beira,MZ,84.29,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
1864,Pitimbu,BR,77.59,clear sky,-7.4706,-34.8086,Reserva do Abiaí
1865,Manapparai,IN,88.66,scattered clouds,10.6,78.4167,VIJAY GUEST HOUSE (LODGE)
1869,Osmena,PH,80.31,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
1870,Dawei,MM,85.86,overcast clouds,14.0833,98.2,Hotel Dawei
1874,Auki,SB,82.42,clear sky,-8.7676,160.7034,Auki Motel
1879,Warri,NG,79.21,clear sky,5.5167,5.75,BON Hotel Delta
1889,Juba,SS,85.78,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
1890,Cuamba,MZ,77.05,light rain,-14.8031,36.5372,Hotel Vision
1905,Yarada,IN,84.52,haze,17.65,83.2667,Yarada Jungle Beach Resorts
1907,Ozubulu,NG,76.39,clear sky,5.9567,6.849,Udegbunam's Residence
1910,Conakry,GN,78.87,mist,9.538,-13.6773,Riviera Royal Hotel
1927,Dahegam,IN,76.77,clear sky,23.1667,72.8167,OYO 3231 Malhaar Resort
1931,Basoko,CD,79.97,overcast clouds,1.2391,23.616,Jackyna Hotel
1932,Akyab,MM,77.83,clear sky,20.15,92.9,Hotel Memory
1934,Igbo Ora,NG,76.01,clear sky,7.4333,3.2833,Pinkbell Inn
